date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2016-01-01,2016,1,5,0,1,1,7,0,6,0,5,0,1,2,1,2,0,0,0,1,1,1,31,31,34,1750,0.0028571428571428,0.0,0.0005714285714285,0.0005714285714285,0.004,0.0,0.0034285714285714,0.0,0.0028571428571428,0.0,0.0005714285714285,0.0011428571428571,0.0005714285714285,0.0011428571428571,0.0,0.0,0.0,0.0005714285714285,0.0005714285714285,0.0005714285714285
2016-02-01,2016,2,11,2,6,3,27,0,7,0,12,2,14,4,2,4,2,1,3,0,2,0,90,90,102,2235,0.0049217002237136,0.0008948545861297,0.0026845637583892,0.0013422818791946,0.0120805369127516,0.0,0.0031319910514541,0.0,0.0053691275167785,0.0008948545861297,0.0062639821029082,0.0017897091722595,0.0008948545861297,0.0017897091722595,0.0008948545861297,0.0004474272930648,0.0013422818791946,0.0,0.0008948545861297,0.0
2016-03-01,2016,3,7,1,5,1,25,0,3,0,9,1,9,6,0,4,0,0,3,1,0,1,64,64,76,2021,0.0034636318654131,0.0004948045522018,0.0024740227610094,0.0004948045522018,0.012370113805047,0.0,0.0014844136566056,0.0,0.0044532409698169,0.0004948045522018,0.0044532409698169,0.0029688273132112,0.0,0.0019792182088075,0.0,0.0,0.0014844136566056,0.0004948045522018,0.0,0.0004948045522018
2016-04-01,2016,4,20,2,3,0,34,2,8,0,8,0,7,7,0,0,0,1,4,0,0,2,86,86,98,1960,0.010204081632653,0.0010204081632653,0.0015306122448979,0.0,0.0173469387755102,0.0010204081632653,0.0040816326530612,0.0,0.0040816326530612,0.0,0.0035714285714285,0.0035714285714285,0.0,0.0,0.0,0.0005102040816326,0.0020408163265306,0.0,0.0,0.0010204081632653
2016-05-01,2016,5,24,1,3,0,21,1,11,0,11,3,7,3,0,0,0,2,3,0,0,1,81,81,91,2022,0.0118694362017804,0.0004945598417408,0.0014836795252225,0.0,0.0103857566765578,0.0004945598417408,0.0054401582591493,0.0,0.0054401582591493,0.0014836795252225,0.0034619188921859,0.0014836795252225,0.0,0.0,0.0,0.0009891196834817,0.0014836795252225,0.0,0.0,0.0004945598417408
2016-06-01,2016,6,17,1,0,0,28,0,8,0,11,0,9,8,1,0,0,5,6,0,1,0,83,83,95,1911,0.0088958660387231,0.0005232862375719,0.0,0.0,0.0146520146520146,0.0,0.0041862899005756,0.0,0.0057561486132914,0.0,0.0047095761381475,0.0041862899005756,0.0005232862375719,0.0,0.0,0.0026164311878597,0.0031397174254317,0.0,0.0005232862375719,0.0
2016-07-01,2016,7,10,0,4,1,11,1,3,0,11,1,5,2,1,0,2,2,2,0,1,2,55,55,59,1780,0.0056179775280898,0.0,0.0022471910112359,0.0005617977528089,0.0061797752808988,0.0005617977528089,0.0016853932584269,0.0,0.0061797752808988,0.0005617977528089,0.0028089887640449,0.0011235955056179,0.0005617977528089,0.0,0.0011235955056179,0.0011235955056179,0.0011235955056179,0.0,0.0005617977528089,0.0011235955056179
2016-08-01,2016,8,5,0,4,1,19,1,5,0,8,0,6,3,0,1,0,2,1,0,3,0,53,53,59,2008,0.0024900398406374,0.0,0.0019920318725099,0.0004980079681274,0.0094621513944223,0.0004980079681274,0.0024900398406374,0.0,0.0039840637450199,0.0,0.0029880478087649,0.0014940239043824,0.0,0.0004980079681274,0.0,0.0009960159362549,0.0004980079681274,0.0,0.0014940239043824,0.0
2016-09-01,2016,9,26,1,8,1,36,0,19,0,24,1,9,8,0,1,1,2,3,0,0,0,123,123,140,2209,0.0117700316885468,0.0004526935264825,0.0036215482118605,0.0004526935264825,0.0162969669533725,0.0,0.0086011770031688,0.0,0.0108646446355817,0.0004526935264825,0.0040742417383431,0.0036215482118605,0.0,0.0004526935264825,0.0004526935264825,0.0009053870529651,0.0013580805794477,0.0,0.0,0.0
2016-10-01,2016,10,13,0,5,1,31,0,9,0,12,0,6,14,0,2,3,3,5,0,0,2,88,88,106,2170,0.0059907834101382,0.0,0.0023041474654377,0.0004608294930875,0.0142857142857142,0.0,0.004147465437788,0.0,0.0055299539170506,0.0,0.0027649769585253,0.0064516129032258,0.0,0.0009216589861751,0.0013824884792626,0.0013824884792626,0.0023041474654377,0.0,0.0,0.0009216589861751
2016-11-01,2016,11,86,4,5,0,28,0,8,3,38,1,14,1,0,3,1,2,3,0,1,2,182,182,200,2174,0.0395584176632934,0.0018399264029438,0.0022999080036798,0.0,0.0128794848206071,0.0,0.0036798528058877,0.0013799448022079,0.0174793008279668,0.0004599816007359,0.0064397424103035,0.0004599816007359,0.0,0.0013799448022079,0.0004599816007359,0.0009199632014719,0.0013799448022079,0.0,0.0004599816007359,0.0009199632014719
2016-12-01,2016,12,23,0,6,0,26,0,4,1,18,1,6,1,0,0,2,1,3,0,1,1,85,85,94,1932,0.0119047619047619,0.0,0.0031055900621118,0.0,0.0134575569358178,0.0,0.0020703933747412,0.0005175983436853,0.0093167701863354,0.0005175983436853,0.0031055900621118,0.0005175983436853,0.0,0.0,0.0010351966873706,0.0005175983436853,0.0015527950310559,0.0,0.0005175983436853,0.0005175983436853
2017-01-01,2017,1,18,0,0,1,13,0,8,0,11,0,7,6,0,1,0,1,2,0,2,1,65,65,71,1838,0.0097932535364526,0.0,0.0,0.000544069640914,0.0070729053318824,0.0,0.0043525571273122,0.0,0.0059847660500544,0.0,0.0038084874863982,0.0032644178454842,0.0,0.000544069640914,0.0,0.000544069640914,0.001088139281828,0.0,0.001088139281828,0.000544069640914
