country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,diaspora_activation,diplomatic_mediation,diplomatic_recognition,diplomatic_sanction,diplomatic_statement,diplomatic_visit,economic_aid_assistance,intelligence_counterintelligence,investment,joint_security_force_exercise,media_campaign_intervention,political_process_policy_intervention,professional_cultural_exchange,security_cooperation,security_force_facility_presence,surveillance,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,diaspora_activationNorm,diplomatic_mediationNorm,diplomatic_recognitionNorm,diplomatic_sanctionNorm,diplomatic_statementNorm,diplomatic_visitNorm,economic_aid_assistanceNorm,intelligence_counterintelligenceNorm,investmentNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,political_process_policy_interventionNorm,professional_cultural_exchangeNorm,security_cooperationNorm,security_force_facility_presenceNorm,surveillanceNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Belarus,China,2016-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,5920,5927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.435970980259828e-4,0,0,0,0,3.374388392103931e-4,0,0
Belarus,China,2016-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,1,0,1,0,0,5480,5496,0,0,0,0,0,0,0,0,0,0,1.819505094614265e-4,0,0,0,0.0023653566229985446,0,0,1.819505094614265e-4,0,1.819505094614265e-4,0,0
Belarus,China,2016-06-01,0,0,0,0,0,0,0,3,0,0,3,0,0,1,7,2,0,0,1,0,0,0,5949,5966,0,0,0,0,0,0,0,5.028494803888703e-4,0,0,5.028494803888703e-4,0,0,1.6761649346295676e-4,0.0011733154542406972,3.3523298692591353e-4,0,0,1.6761649346295676e-4,0,0,0
Belarus,China,2016-07-01,0,0,0,0,4,1,0,2,1,0,4,0,0,0,9,0,0,1,1,0,0,0,5402,5425,0,0,0,0,7.373271889400922e-4,1.8433179723502304e-4,0,3.686635944700461e-4,1.8433179723502304e-4,0,7.373271889400922e-4,0,0,0,0.0016589861751152074,0,0,1.8433179723502304e-4,1.8433179723502304e-4,0,0,0
Belarus,China,2016-08-01,0,0,0,0,2,0,0,4,0,0,8,0,0,0,3,1,0,0,0,0,0,0,5952,5970,0,0,0,0,3.3500837520938025e-4,0,0,6.700167504187605e-4,0,0,0.001340033500837521,0,0,0,5.025125628140704e-4,1.6750418760469013e-4,0,0,0,0,0,0
Belarus,China,2016-09-01,0,0,0,0,1,0,1,5,0,0,6,0,0,4,20,1,0,0,0,1,0,0,5892,5931,0,0,0,0,1.686056314280897e-4,0,1.686056314280897e-4,8.430281571404484e-4,0,0,0.0010116337885685382,0,0,6.744225257123588e-4,0.003372112628561794,1.686056314280897e-4,0,0,0,1.686056314280897e-4,0,0
Belarus,China,2016-10-01,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,0,0,0,1,0,0,0,5575,5585,0,0,0,0,0,0,0,0,3.5810205908683976e-4,0,5.371530886302597e-4,0,0,0,7.162041181736795e-4,0,0,0,1.7905102954341988e-4,0,0,0
Belarus,China,2016-11-01,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,2,0,0,1,0,0,0,5334,5346,0,0,0,0,0,0,0,3.741114852225963e-4,0,0,3.741114852225963e-4,0,0,0,9.352787130564908e-4,3.741114852225963e-4,0,0,1.8705574261129816e-4,0,0,0
Belarus,China,2016-12-01,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,3,0,0,0,0,0,0,5855,5866,0,0,0,0,0,0,0,3.4094783498124785e-4,0,0,1.7047391749062393e-4,0,0,0,8.523695874531196e-4,5.114217524718718e-4,0,0,0,0,0,0
Belarus,China,2017-01-01,0,0,0,0,2,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,5823,5833,0,0,0,0,3.428767358134751e-4,0,1.7143836790673754e-4,0,0,0,1.7143836790673754e-4,0,0,0,0.001028630207440425,0,0,0,0,0,0,0
Belarus,China,2017-02-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,0,0,5890,5902,0,0,0,0,0,0,0,0,0,0,3.3886818027787193e-4,0,0,0,0.0015249068112504235,1.6943409013893597e-4,0,0,0,0,0,0
Belarus,China,2017-03-01,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,6913,6921,0,1.4448779078167894e-4,0,0,0,0,0,0,0,0,4.3346337234503684e-4,0,0,0,4.3346337234503684e-4,0,0,0,0,0,1.4448779078167894e-4,0
Belarus,China,2017-04-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,2,0,0,2,0,1,0,5635,5646,0,0,0,0,0,0,1.7711654268508679e-4,3.5423308537017357e-4,0,0,0,0,0,0,5.313496280552603e-4,3.5423308537017357e-4,0,0,3.5423308537017357e-4,0,1.7711654268508679e-4,0
Belarus,China,2017-05-01,0,2,0,0,0,0,1,5,1,0,8,0,0,0,10,1,0,0,1,0,0,0,5388,5417,0,3.6920804873546244e-4,0,0,0,0,1.8460402436773122e-4,9.230201218386561e-4,1.8460402436773122e-4,0,0.0014768321949418497,0,0,0,0.0018460402436773122,1.8460402436773122e-4,0,0,1.8460402436773122e-4,0,0,0
Belarus,China,2017-06-01,2,0,0,0,0,0,1,4,0,0,3,0,0,0,10,0,0,0,1,0,0,0,5615,5636,3.5486160397445e-4,0,0,0,0,0,1.77430801987225e-4,7.097232079489e-4,0,0,5.322924059616749e-4,0,0,0,0.0017743080198722497,0,0,0,1.77430801987225e-4,0,0,0
Belarus,China,2017-07-01,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,1,0,0,0,5269,5289,0,0,0,0,0,0,0,0,0,0,9.453582907922103e-4,0,0,0,0.0026470032142181885,0,0,0,1.8907165815844205e-4,0,0,0
Belarus,China,2017-08-01,1,0,0,0,0,0,1,1,0,0,4,0,0,0,11,0,0,0,0,0,0,0,6008,6026,1.6594756057085962e-4,0,0,0,0,0,1.6594756057085962e-4,1.6594756057085962e-4,0,0,6.637902422834385e-4,0,0,0,0.0018254231662794558,0,0,0,0,0,0,0
Belarus,China,2017-09-01,0,0,0,0,0,0,0,2,0,0,2,1,0,0,18,0,0,0,1,0,1,0,5639,5664,0,0,0,0,0,0,0,3.5310734463276836e-4,0,0,3.5310734463276836e-4,1.7655367231638418e-4,0,0,0.0031779661016949155,0,0,0,1.7655367231638418e-4,0,1.7655367231638418e-4,0
Belarus,China,2017-10-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,5645,5654,0,0,0,0,0,0,0,0,0,0,5.305978068623983e-4,0,0,0,0.0010611956137247967,0,0,0,0,0,0,0
Belarus,China,2017-11-01,0,0,0,0,0,0,0,1,0,1,4,0,0,0,3,0,0,0,1,0,0,0,5676,5686,0,0,0,0,0,0,0,1.7587055926837847e-4,0,1.7587055926837847e-4,7.034822370735139e-4,0,0,0,5.276116778051355e-4,0,0,0,1.7587055926837847e-4,0,0,0
Belarus,China,2017-12-01,0,0,0,0,0,0,1,0,0,0,7,0,0,0,11,0,0,1,1,0,0,0,5507,5528,0,0,0,0,0,0,1.808972503617945e-4,0,0,0,0.0012662807525325615,0,0,0,0.0019898697539797393,0,0,1.808972503617945e-4,1.808972503617945e-4,0,0,0
Belarus,China,2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,2,0,0,0,6519,6534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018365472910927456,0,0,1.5304560759106213e-4,3.0609121518212427e-4,0,0,0
Belarus,China,2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,2,0,0,0,6432,6444,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5518311607697082e-4,0.0013966480446927375,0,0,0,3.1036623215394165e-4,0,0,0
Belarus,China,2018-03-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,1,0,1,2,0,0,0,6784,6798,0,0,0,0,0,0,0,0,0,0,4.41306266548985e-4,0,0,0,0.0010297146219476316,1.4710208884966165e-4,0,1.4710208884966165e-4,2.942041776993233e-4,0,0,0
Belarus,China,2018-04-01,1,0,0,0,0,0,0,0,0,0,4,0,0,0,8,6,0,0,4,0,0,0,5819,5842,1.7117425539198904e-4,0,0,0,0,0,0,0,0,0,6.846970215679561e-4,0,0,0,0.0013693940431359123,0.0010270455323519343,0,0,6.846970215679561e-4,0,0,0
Belarus,China,2018-05-01,0,0,0,0,0,1,0,9,1,0,8,0,0,0,11,0,0,0,6,1,0,0,6044,6081,0,0,0,0,0,1.64446637066272e-4,0,0.0014800197335964479,1.64446637066272e-4,0,0.001315573096530176,0,0,0,0.001808913007728992,0,0,0,9.86679822397632e-4,1.64446637066272e-4,0,0
Belarus,China,2018-06-01,0,0,0,0,0,0,0,5,0,0,4,1,0,0,11,1,1,0,6,0,0,0,5958,5987,0,0,0,0,0,0,0,8.351428094204109e-4,0,0,6.681142475363287e-4,1.6702856188408218e-4,0,0,0.001837314180724904,1.6702856188408218e-4,1.6702856188408218e-4,0,0.001002171371304493,0,0,0
Belarus,China,2018-07-01,0,1,0,0,0,2,0,0,0,0,2,0,0,0,12,1,0,0,4,0,0,0,5736,5758,0,1.736714136853074e-4,0,0,0,3.473428273706148e-4,0,0,0,0,3.473428273706148e-4,0,0,0,0.0020840569642236887,1.736714136853074e-4,0,0,6.946856547412296e-4,0,0,0
Belarus,China,2018-08-01,0,0,0,0,0,2,0,2,0,0,3,1,0,0,8,1,0,0,0,0,4,0,6373,6394,0,0,0,0,0,3.1279324366593683e-4,0,3.1279324366593683e-4,0,0,4.6918986549890525e-4,1.5639662183296842e-4,0,0,0.0012511729746637473,1.5639662183296842e-4,0,0,0,0,6.255864873318737e-4,0
